**MINIMIZED DFA TRANSITION TABLE**
No.Of States: 90
from 1  on getting 61 to 55
from 2  on getting 48 to 7
from 2  on getting 49 to 7
from 2  on getting 50 to 8
from 2  on getting 51 to 8
from 2  on getting 52 to 9
from 2  on getting 53 to 9
from 2  on getting 54 to 10
from 2  on getting 55 to 10
from 2  on getting 56 to 11
from 2  on getting 57 to 11
from 3  on getting 48 to 7
from 3  on getting 49 to 7
from 3  on getting 50 to 8
from 3  on getting 51 to 8
from 3  on getting 52 to 9
from 3  on getting 53 to 9
from 3  on getting 54 to 10
from 3  on getting 55 to 10
from 3  on getting 56 to 11
from 3  on getting 57 to 11
from 4  on getting 48 to 7
from 4  on getting 49 to 7
from 4  on getting 50 to 8
from 4  on getting 51 to 8
from 4  on getting 52 to 9
from 4  on getting 53 to 9
from 4  on getting 54 to 10
from 4  on getting 55 to 10
from 4  on getting 56 to 11
from 4  on getting 57 to 11
from 5  on getting 48 to 7
from 5  on getting 49 to 7
from 5  on getting 50 to 8
from 5  on getting 51 to 8
from 5  on getting 52 to 9
from 5  on getting 53 to 9
from 5  on getting 54 to 10
from 5  on getting 55 to 10
from 5  on getting 56 to 11
from 5  on getting 57 to 11
from 6  on getting 48 to 7
from 6  on getting 49 to 7
from 6  on getting 50 to 8
from 6  on getting 51 to 8
from 6  on getting 52 to 9
from 6  on getting 53 to 9
from 6  on getting 54 to 10
from 6  on getting 55 to 10
from 6  on getting 56 to 11
from 6  on getting 57 to 11
from 7  on getting 46 to 90
from 7  on getting 48 to 12
from 7  on getting 49 to 12
from 7  on getting 50 to 13
from 7  on getting 51 to 13
from 7  on getting 52 to 14
from 7  on getting 53 to 14
from 7  on getting 54 to 15
from 7  on getting 55 to 15
from 7  on getting 56 to 16
from 7  on getting 57 to 16
from 8  on getting 46 to 90
from 8  on getting 48 to 12
from 8  on getting 49 to 12
from 8  on getting 50 to 13
from 8  on getting 51 to 13
from 8  on getting 52 to 14
from 8  on getting 53 to 14
from 8  on getting 54 to 15
from 8  on getting 55 to 15
from 8  on getting 56 to 16
from 8  on getting 57 to 16
from 9  on getting 46 to 90
from 9  on getting 48 to 12
from 9  on getting 49 to 12
from 9  on getting 50 to 13
from 9  on getting 51 to 13
from 9  on getting 52 to 14
from 9  on getting 53 to 14
from 9  on getting 54 to 15
from 9  on getting 55 to 15
from 9  on getting 56 to 16
from 9  on getting 57 to 16
from 10  on getting 46 to 90
from 10  on getting 48 to 12
from 10  on getting 49 to 12
from 10  on getting 50 to 13
from 10  on getting 51 to 13
from 10  on getting 52 to 14
from 10  on getting 53 to 14
from 10  on getting 54 to 15
from 10  on getting 55 to 15
from 10  on getting 56 to 16
from 10  on getting 57 to 16
from 11  on getting 46 to 90
from 11  on getting 48 to 12
from 11  on getting 49 to 12
from 11  on getting 50 to 13
from 11  on getting 51 to 13
from 11  on getting 52 to 14
from 11  on getting 53 to 14
from 11  on getting 54 to 15
from 11  on getting 55 to 15
from 11  on getting 56 to 16
from 11  on getting 57 to 16
from 12  on getting 46 to 90
from 12  on getting 48 to 12
from 12  on getting 49 to 12
from 12  on getting 50 to 13
from 12  on getting 51 to 13
from 12  on getting 52 to 14
from 12  on getting 53 to 14
from 12  on getting 54 to 15
from 12  on getting 55 to 15
from 12  on getting 56 to 16
from 12  on getting 57 to 16
from 13  on getting 46 to 90
from 13  on getting 48 to 12
from 13  on getting 49 to 12
from 13  on getting 50 to 13
from 13  on getting 51 to 13
from 13  on getting 52 to 14
from 13  on getting 53 to 14
from 13  on getting 54 to 15
from 13  on getting 55 to 15
from 13  on getting 56 to 16
from 13  on getting 57 to 16
from 14  on getting 46 to 90
from 14  on getting 48 to 12
from 14  on getting 49 to 12
from 14  on getting 50 to 13
from 14  on getting 51 to 13
from 14  on getting 52 to 14
from 14  on getting 53 to 14
from 14  on getting 54 to 15
from 14  on getting 55 to 15
from 14  on getting 56 to 16
from 14  on getting 57 to 16
from 15  on getting 46 to 90
from 15  on getting 48 to 12
from 15  on getting 49 to 12
from 15  on getting 50 to 13
from 15  on getting 51 to 13
from 15  on getting 52 to 14
from 15  on getting 53 to 14
from 15  on getting 54 to 15
from 15  on getting 55 to 15
from 15  on getting 56 to 16
from 15  on getting 57 to 16
from 16  on getting 46 to 90
from 16  on getting 48 to 12
from 16  on getting 49 to 12
from 16  on getting 50 to 13
from 16  on getting 51 to 13
from 16  on getting 52 to 14
from 16  on getting 53 to 14
from 16  on getting 54 to 15
from 16  on getting 55 to 15
from 16  on getting 56 to 16
from 16  on getting 57 to 16
from 17  on getting 33 to 1
from 17  on getting 40 to 18
from 17  on getting 41 to 19
from 17  on getting 42 to 17
from 17  on getting 43 to 20
from 17  on getting 44 to 21
from 17  on getting 45 to 22
from 17  on getting 47 to 17
from 17  on getting 48 to 2
from 17  on getting 49 to 2
from 17  on getting 50 to 3
from 17  on getting 51 to 3
from 17  on getting 52 to 4
from 17  on getting 53 to 4
from 17  on getting 54 to 5
from 17  on getting 55 to 5
from 17  on getting 56 to 6
from 17  on getting 57 to 6
from 17  on getting 59 to 23
from 17  on getting 60 to 24
from 17  on getting 61 to 25
from 17  on getting 62 to 26
from 17  on getting 65 to 27
from 17  on getting 66 to 27
from 17  on getting 67 to 28
from 17  on getting 68 to 28
from 17  on getting 69 to 29
from 17  on getting 70 to 29
from 17  on getting 71 to 30
from 17  on getting 72 to 30
from 17  on getting 73 to 31
from 17  on getting 74 to 31
from 17  on getting 75 to 32
from 17  on getting 76 to 32
from 17  on getting 77 to 33
from 17  on getting 78 to 33
from 17  on getting 79 to 34
from 17  on getting 80 to 34
from 17  on getting 81 to 35
from 17  on getting 82 to 35
from 17  on getting 83 to 36
from 17  on getting 84 to 36
from 17  on getting 85 to 37
from 17  on getting 86 to 37
from 17  on getting 87 to 38
from 17  on getting 88 to 38
from 17  on getting 89 to 39
from 17  on getting 90 to 39
from 17  on getting 97 to 40
from 17  on getting 98 to 40
from 17  on getting 99 to 41
from 17  on getting 100 to 41
from 17  on getting 101 to 42
from 17  on getting 102 to 42
from 17  on getting 103 to 43
from 17  on getting 104 to 43
from 17  on getting 105 to 44
from 17  on getting 106 to 44
from 17  on getting 107 to 45
from 17  on getting 108 to 45
from 17  on getting 109 to 46
from 17  on getting 110 to 46
from 17  on getting 111 to 47
from 17  on getting 112 to 47
from 17  on getting 113 to 48
from 17  on getting 114 to 48
from 17  on getting 115 to 49
from 17  on getting 116 to 49
from 17  on getting 117 to 50
from 17  on getting 118 to 50
from 17  on getting 119 to 51
from 17  on getting 120 to 51
from 17  on getting 121 to 52
from 17  on getting 122 to 52
from 17  on getting 123 to 53
from 17  on getting 125 to 54
from 24  on getting 61 to 56
from 25  on getting 61 to 57
from 26  on getting 61 to 58
from 27  on getting 48 to 59
from 27  on getting 49 to 59
from 27  on getting 50 to 60
from 27  on getting 51 to 60
from 27  on getting 52 to 61
from 27  on getting 53 to 61
from 27  on getting 54 to 62
